CD_MUN,Municipio,Evento,Status,Mortos,Feridos,Enfermos,Desaparecidos,Desalojados,Desabrigados,OutrosAfetados,Registro,TotalAfetados,TotalNaoAfetados,PopulacaoEstimada2024,TotalAfetadosNormalized,TotalNaoAfetadosNormalized,PercentualAffected
4301651,Barão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,81,0,0,06/05/2024,81,6408,6489,81,6408,1.248266297
4301701,Barão de Cotegipe,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,45,0,7099,06/05/2024,7144,169,7313,7144,169,97.6890469
4301750,Barão do Triunfo,Enxurradas,Reconhecido,0,0,0,0,0,0,5889,08/05/2024,5889,94,5983,5889,94,98.42888183
4301800,Barracão,,,,,,,,,,,,,,,,
4301859,Barra do Guarita,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,52,40,2997,04/05/2024,3089,141,3230,3089,141,95.63467492
4301875,Barra do Quaraí,,,,,,,,,,,,,,,,
4301909,Barra do Ribeiro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,780,416,8200,06/05/2024,9396,3079,12475,9396,3079,75.31863727
4301925,Barra do Rio Azul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,420,1276,03/05/2024,1696,28,1724,1696,28,98.37587007
4301958,Barra Funda,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,24,0,2526,03/05/2024,2550,5,2555,2550,5,99.80430528
4302006,Barros Cassal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,1,0,0,5047,05/05/2024,5048,4394,9442,5048,4394,53.46324931
4302055,Benjamin Constant do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,0,03/05/2024,0,2120,2120,0,2120,0
4302105,Bento Gonçalves,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4,64,0,8,600,104,0,03/05/2024,780,126995,127775,780,126995,0.610448053
4302154,Boa Vista das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2114,03/05/2024,2114,-145,1969,2114,0,100
4302204,Boa Vista do Buricá,,,,,,,,,,,,,,,,
4302220,Boa Vista do Cadeado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2226,11/05/2024,2226,45,2271,2226,45,98.01849406
4302238,Boa Vista do Incra,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,486,07/05/2024,486,1829,2315,486,1829,20.99352052
4302253,Boa Vista do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2,0,0,0,5,0,2772,03/05/2024,2779,36,2815,2779,36,98.72113677
4302303,Bom Jesus,Tempestade Local/Convectiva - Vendaval,Reconhecido,0,0,0,0,0,0,11309,07/05/2024,11309,122,11431,11309,122,98.9327268
4302352,Bom Princípio,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,0,0,0,468,171,63,03/05/2024,703,12947,13650,703,12947,5.15018315
4302378,Bom Progresso,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2328,09/05/2024,2328,-194,2134,2328,0,100
4302402,Bom Retiro do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,1400,55,2500,04/05/2024,3955,8623,12578,3955,8623,31.44379075
4302451,Boqueirão do Leão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,114,0,0,02/05/2024,114,6101,6215,114,6101,1.834271923
4302501,Bossoroca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6887,17/05/2024,6887,-899,5988,6887,0,100
4302584,Bozano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2200,10/05/2024,2200,-5,2195,2200,0,100
4302600,Braga,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,120,0,3148,07/05/2024,3268,58,3326,3268,58,98.25616356
4302659,Brochier,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,100,3,4863,06/05/2024,4966,113,5079,4966,113,97.77515259
4302709,Butiá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,50,50,1000,02/05/2024,1100,18333,19433,1100,18333,5.660474451
4302808,Caçapava do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,0,02/05/2024,0,33508,33508,0,33508,0
4302907,Cacequi,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,107,16,11034,07/05/2024,11157,167,11324,11157,167,98.52525609
4303004,Cachoeira do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,15,7,0,2446,372,80987,06/05/2024,83827,-1577,82250,83827,0,100
4303103,Cachoeirinha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,3016,1853,131389,07/05/2024,136258,5045,141303,136258,5045,96.42965825
4303202,Cacique Doble,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,10,4583,06/05/2024,4603,91,4694,4603,91,98.06135492
4303301,Caibaté,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4704,28/05/2024,4704,93,4797,4704,93,98.06128831
4303400,Caiçara,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,5071,03/05/2024,5071,-138,4933,5071,0,100
4303509,Camaquã,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1000,06/05/2024,1000,62959,63959,1000,62959,1.563501618
4303558,Camargo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2981,05/05/2024,2981,75,3056,2981,75,97.54581152
4303608,Cambará do Sul,Tempestade Local/Convectiva - Vendaval,Reconhecido,0,0,0,0,4,0,299,13/05/2024,303,6189,6492,303,6189,4.66728281
4303673,Campestre da Serra,Enxurradas,Reconhecido,0,0,0,0,0,0,350,05/05/2024,350,2961,3311,350,2961,10.57082452
4303707,Campina das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,0,0,0,0,0,0,5882,06/05/2024,5882,119,6001,5882,119,98.01699717
4303806,Campinas do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,3,0,5281,04/05/2024,5284,106,5390,5284,106,98.03339518
4303905,Campo Bom,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,3200,280,6120,07/05/2024,9600,55104,64704,9600,55104,14.83679525
4304002,Campo Novo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1200,05/06/2024,1200,3868,5068,1200,3868,23.67797948
4304101,Campos Borges,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,30,0,0,02/05/2024,30,3663,3693,30,3663,0.812347685
4304200,Candelária,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,7,25,120,800,500,23000,02/05/2024,24453,5723,30176,24453,5723,81.03459703
4304309,Cândido Godói,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6294,06/05/2024,6294,127,6421,6294,127,98.02211494
4304358,Candiota,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,10710,07/05/2024,10710,282,10992,10710,282,97.43449782
4304408,Canela,Deslizamentos,Reconhecido,2,7,5,0,402,235,45000,03/05/2024,45651,4962,50613,45651,4962,90.19619465
4304507,Canguçu,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,21284,06/05/2024,21284,29714,50998,21284,29714,41.73497
4304606,Canoas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2,372,0,114,157512,22000,0,08/05/2024,180000,179554,359554,180000,179554,50.06202128
4304614,Canudos do Vale,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,34,0,1622,05/05/2024,1656,31,1687,1656,31,98.16241849
4304622,Capão Bonito do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1753,06/05/2024,1753,16,1769,1753,16,99.0955342
4304630,Capão da Canoa,,,,,,,,,,,,,,,,
4304655,Capão do Cipó,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3699,17/05/2024,3699,-513,3186,3699,0,100
4304663,Capão do Leão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,7500,10/05/2024,7500,19889,27389,7500,19889,27.38325605
4304671,Capivari do Sul,,,,,,,,,,,,,,,,
4304689,Capela de Santana,Alagamentos,Reconhecido,0,0,0,0,100,50,0,03/05/2024,150,11266,11416,150,11266,1.31394534
4304697,Capitão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2,15,0,0,106,32,2789,06/05/2024,2944,47,2991,2944,47,98.42861919
4304705,Carazinho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,7,0,0,07/05/2024,7,4072,4079,7,4072,0.171610689
4304713,Caraá,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,0,0,0,22,0,7291,06/05/2024,7313,240,7553,7313,240,96.82245465
4304804,Carlos Barbosa,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,73,0,03/05/2024,73,31455,31528,73,31455,0.231540218
4304853,Carlos Gomes,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1355,06/05/2024,1355,32,1387,1355,32,97.69286229
4304903,Casca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3500,07/05/2024,3500,6189,9689,3500,6189,36.12343895
4304952,Caseiros,,,,,,,,,,,,,,,,
4305009,Catuípe,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,9323,07/05/2024,9323,-483,8840,9323,0,100
4305108,Caxias do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5,0,0,6,760,44,434667,06/05/2024,435482,43774,479256,435482,43774,90.86625937
4305116,Centenário,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2967,06/05/2024,2967,-188,2779,2967,0,100
4305124,Cerrito,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2000,07/05/2024,2000,3915,5915,2000,3915,33.8123415
4305132,Cerro Branco,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,200,100,3500,03/05/2024,3800,65,3865,3800,65,98.31824062
4305157,Cerro Grande,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,2417,03/05/2024,2417,12,2429,2417,12,99.50596953
4305173,Cerro Grande do Sul,Enxurradas,Reconhecido,0,0,0,0,150,103,1000,09/05/2024,1253,8090,9343,1253,8090,13.41110992
4305207,Cerro Largo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,13705,08/05/2024,13705,304,14009,13705,304,97.82996645
4305306,Chapada,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,3,0,9475,05/05/2024,9478,270,9748,9478,270,97.23020107
4305355,Charqueadas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,6300,615,0,03/05/2024,6915,29194,36109,6915,29194,19.15035033
4305371,Charrua,,,,,,,,,,,,,,,,
4305405,Chiapetta,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4044,04/05/2024,4044,-52,3992,4044,0,100
4305439,Chuí,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,34,0,6228,27/05/2024,6262,143,6405,6262,143,97.76736924
4305447,Chuvisca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4944,15/05/2024,4944,-258,4686,4944,0,100
4305454,Cidreira,Alagamentos,Não reconhecido,0,0,0,0,3200,0,0,07/05/2024,3200,14338,17538,3200,14338,18.2460942
4305504,Ciríaco,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4149,03/05/2024,4149,66,4215,4149,66,98.4341637
4305587,Colinas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,80,200,0,1150,200,1030,03/05/2024,2660,-240,2420,2660,0,100
4305603,Colorado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,2,0,3548,06/05/2024,3550,-231,3319,3550,0,100
4305702,Condor,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,40,0,6460,07/05/2024,6500,39,6539,6500,39,99.40357853
4305801,Constantina,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,45,72,9624,04/05/2024,9741,882,10623,9741,882,91.69726066
4305835,Coqueiro Baixo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,1,1279,07/05/2024,1290,21,1311,1290,21,98.39816934
4305850,Coqueiros do Sul,,,,,,,,,,,,,,,,
4305871,Coronel Barros,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,10,0,2812,29/05/2024,2822,70,2892,2822,70,97.57952974
4305900,Coronel Bicaco,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,8,0,7740,03/05/2024,7748,-1518,6230,7748,0,100
4305934,Coronel Pilar,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,20,70,1300,04/05/2024,1390,248,1638,1390,248,84.85958486
4305959,Cotiporã,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,0,0,0,160,70,3686,12/05/2024,3917,9,3926,3917,9,99.77075904
4305975,Coxilha,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,0,0,0,0,0,200,16/05/2024,200,2519,2719,200,2519,7.355645458
4306007,Crissiumal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,14085,07/05/2024,14085,-958,13127,14085,0,100
4306056,Cristal,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,144,0,0,30/04/2024,144,7310,7454,144,7310,1.931848672
4306072,Cristal do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,4,8,2814,04/05/2024,2826,-80,2746,2826,0,100
4306106,Cruz Alta,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,58913,02/05/2024,58913,1573,60486,58913,1573,97.39939821
4306130,Cruzaltense,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1635,02/05/2024,1635,20,1655,1635,20,98.79154079
4306205,Cruzeiro do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3,0,0,0,2987,800,12331,01/05/2024,16121,-3550,12571,16121,0,100
4306304,David Canabarro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1728,20/04/2024,1728,2675,4403,1728,2675,39.24596866
4306320,Derrubadas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,12,0,2739,07/05/2024,2751,46,2797,2751,46,98.35538077
4306353,Dezesseis de Novembro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,0,06/05/2024,0,2544,2544,0,2544,0
4306379,Dilermando de Aguiar,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,64,0,3000,01/05/2024,3064,-205,2859,3064,0,100
4306403,Dois Irmãos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,60,0,0,07/05/2024,60,31709,31769,60,31709,0.188863357
4306429,Dois Irmãos das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,12,0,2145,03/05/2024,2157,-24,2133,2157,0,100
4306452,Dois Lajeados,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,39,0,03/05/2024,39,3119,3158,39,3119,1.234958835
4306502,Dom Feliciano,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,120,0,0,07/05/2024,120,13171,13291,120,13171,0.902866601
4306551,Dom Pedro de Alcântara,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1930,13/05/2024,1930,36164,38094,1930,36164,5.066414658
4306601,Dom Pedrito, Inundações,Reconhecido,0,0,0,0,0,0,18,09/05/2024,18,2532,2550,18,2532,0.705882353
4306700,Dona Francisca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,150,80,3171,03/05/2024,3401,-265,3136,3401,0,100
4306734,Doutor Maurício Cardoso,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4470,07/05/2024,4470,72,4542,4470,72,98.41479524
4306759,Doutor Ricardo,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,0,0,0,200,50,1638,24/05/2024,1888,37,1925,1888,37,98.07792208
4306767,Eldorado do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,300,20000,6000,13259,06/05/2024,39559,1395,40954,39559,1395,96.59373932
4306809,Encantado,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,12,0,2,923,726,21298,04/05/2024,22962,532,23494,22962,532,97.73559207
4306908,Encruzilhada do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,15,0,7000,06/05/2024,7015,17265,24280,7015,17265,28.89209226
4306924,Engenho Velho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,15,15,1500,03/05/2024,1530,-213,1317,1530,0,100
4306957,Entre Rios do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,12,0,3068,03/05/2024,3080,-349,2731,3080,0,100
4306932,Entre-Ijuís,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,60,0,9098,16/05/2024,9158,206,9364,9158,206,97.80008543
4306973,Erebango,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3054,24/06/2024,3054,67,3121,3054,67,97.85325216
4307005,Erechim,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,2,0,0,52,0,0,03/05/2024,54,109443,109497,54,109443,0.04931642
4307054,Ernestina,,,,,,,,,,,,,,,,
4307104,Herval,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6191,06/05/2024,6191,116,6307,6191,116,98.16077374
4307203,Erval Grande,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,4,5163,03/05/2024,5167,-138,5029,5167,0,100
4307302,Erval Seco,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,7878,03/05/2024,7878,-976,6902,7878,0,100
4307401,Esmeralda,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,0,0,0,0,0,0,40,10/05/2024,40,3224,3264,40,3224,1.225490196
4307450,Esperança do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3272,15/05/2024,3272,22,3294,3272,22,99.332119
4307500,Espumoso,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,800,48,14325,03/05/2024,15173,305,15478,15173,305,98.02946117
4307559,Estação,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,5517,03/05/2024,5517,171,5688,5517,171,96.99367089
4307609,Estância Velha,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,0,0,0,0,0,12,08/05/2024,12,49428,49440,12,49428,0.024271845
4307708,Esteio, Inundações,Não reconhecido,0,0,0,0,10000,1061,65076,18/05/2024,76137,2044,78181,76137,2044,97.38555403
4307807,Estrela, Inundações,Reconhecido,0,0,0,0,4000,1100,32183,03/05/2024,37283,-4040,33243,37283,0,100
4307815,Estrela Velha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,32,14,3024,06/05/2024,3070,50,3120,3070,50,98.3974359
4307831,Eugênio de Castro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,16,0,0,06/05/2024,16,2669,2685,16,2669,0.595903166
4307864,Fagundes Varela,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,5,0,150,04/05/2024,155,2465,2620,155,2465,5.916030534
4307906,Farroupilha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,111,0,0,03/05/2024,111,72366,72477,111,72366,0.153152034
4308003,Faxinal do Soturno,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,320,43,6309,30/04/2024,6672,174,6846,6672,174,97.45836985
4308052,Faxinalzinho,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,12,0,2555,03/05/2024,2567,5,2572,2567,5,99.80559876
4308078,Fazenda Vilanova,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4291,07/05/2024,4291,108,4399,4291,108,97.54489657
4308102,Feliz,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,1200,80,12484,03/05/2024,13764,215,13979,13764,215,98.46197868
4308201,Flores da Cunha,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,80,12,30800,03/05/2024,30892,1081,31973,30892,1081,96.6190223
4308250,Floriano Peixoto,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1668,09/05/2024,1668,26,1694,1668,26,98.46517119
4308300,Fontoura Xavier,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,91,62,0,400,23,6731,02/05/2024,7308,2413,9721,7308,2413,75.17745088
4308409,Formigueiro,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,9,0,6404,03/05/2024,6413,120,6533,6413,120,98.16317159
4308433,Forquetinha,Enxurradas,Reconhecido,2,8,0,0,189,0,1023,07/05/2024,1222,1219,2441,1222,1219,50.06145023
4308458,Fortaleza dos Valos,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4577,06/05/2024,4577,-8,4569,4577,0,100
4308508,Frederico Westphalen,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,22,6,32599,04/05/2024,32627,1057,33684,32627,1057,96.86201164
